[COURSE:4][Final Project]: Linux Pi4 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Linux DESKTOP-C2TSGBN 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64

2026-01-21T18:00:00+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 1] [Image Capture Start Time: 0.0 seconds]
2026-01-21T18:00:01+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 2] [Image Capture Start Time: 1.0 seconds]
2026-01-21T18:00:02+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 3] [Image Capture Start Time: 2.0 seconds]
2026-01-21T18:00:03+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 4] [Image Capture Start Time: 3.0 seconds]
2026-01-21T18:00:04+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 5] [Image Capture Start Time: 4.0 seconds]
2026-01-21T18:00:05+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 6] [Image Capture Start Time: 5.0 seconds]
2026-01-21T18:00:06+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 7] [Image Capture Start Time: 6.0 seconds]
2026-01-21T18:00:07+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 8] [Image Capture Start Time: 7.0 seconds]
2026-01-21T18:00:08+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 9] [Image Capture Start Time: 8.0 seconds]
2026-01-21T18:00:09+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 10] [Image Capture Start Time: 9.0 seconds]
2026-01-21T18:00:10+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 11] [Image Capture Start Time: 10.0 seconds]
2026-01-21T18:00:11+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 12] [Image Capture Start Time: 11.0 seconds]
2026-01-21T18:00:12+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 13] [Image Capture Start Time: 12.0 seconds]
2026-01-21T18:00:13+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 14] [Image Capture Start Time: 13.0 seconds]
2026-01-21T18:00:14+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 15] [Image Capture Start Time: 14.0 seconds]
2026-01-21T18:00:15+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 16] [Image Capture Start Time: 15.0 seconds]
2026-01-21T18:00:16+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 17] [Image Capture Start Time: 16.0 seconds]
2026-01-21T18:00:17+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 18] [Image Capture Start Time: 17.0 seconds]
2026-01-21T18:00:18+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 19] [Image Capture Start Time: 18.0 seconds]
2026-01-21T18:00:19+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 20] [Image Capture Start Time: 19.0 seconds]
2026-01-21T18:00:20+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 21] [Image Capture Start Time: 20.0 seconds]
2026-01-21T18:00:21+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 22] [Image Capture Start Time: 21.0 seconds]
2026-01-21T18:00:22+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 23] [Image Capture Start Time: 22.0 seconds]
2026-01-21T18:00:23+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 24] [Image Capture Start Time: 23.0 seconds]
